task,modality_group,feature,source,declared_dtype,shape,files,frames_or_rows,count_source,fps,bytes,bytes_human,details
430_towel_hanging_lerobot,vision_video,observation.images.phone,info,video,"[480, 640, 3]",,33310,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
430_towel_hanging_lerobot,depth_image,observation.images.phone_depth,info,image,"[480, 640, 1]",,33310,declared_expected,24,,,
430_towel_hanging_lerobot,tactile_video,observation.tactiles.left,info,video,"[224, 224, 3]",,33310,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 224, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 224}"
430_towel_hanging_lerobot,tactile_video,observation.tactiles.right,info,video,"[224, 224, 3]",,33310,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 224, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 224}"
430_towel_hanging_lerobot,force,observation.forces.left,info,float32,[1],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,force,observation.forces.right,info,float32,[1],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,index,timestamp,info,float32,[1],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,index,frame_index,info,int64,[1],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,index,episode_index,info,int64,[1],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,index,index,info,int64,[1],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,index,task_index,info,int64,[1],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,action,action,data_parquet,float32,[10],5,33310,parquet_rows,24,1278815,1.2 MiB,"{""uncompressed_bytes"": 1375079}"
430_towel_hanging_lerobot,pose,end_pose,data_parquet,float32,[6],5,33310,parquet_rows,24,30911,30.2 KiB,"{""uncompressed_bytes"": 121363}"
430_towel_hanging_lerobot,index,episode_index,data_parquet,int64,[1],5,33310,parquet_rows,24,20466,20.0 KiB,"{""uncompressed_bytes"": 19638}"
430_towel_hanging_lerobot,index,frame_index,data_parquet,int64,[1],5,33310,parquet_rows,24,188900,184.5 KiB,"{""uncompressed_bytes"": 319058}"
430_towel_hanging_lerobot,index,index,data_parquet,int64,[1],5,33310,parquet_rows,24,189600,185.2 KiB,"{""uncompressed_bytes"": 319058}"
430_towel_hanging_lerobot,force,observation.forces.left,data_parquet,float32,[1],5,33310,parquet_rows,24,16326,15.9 KiB,"{""uncompressed_bytes"": 15498}"
430_towel_hanging_lerobot,force,observation.forces.right,data_parquet,float32,[1],5,33310,parquet_rows,24,58888,57.5 KiB,"{""uncompressed_bytes"": 57583}"
430_towel_hanging_lerobot,depth_image,observation.images.phone_depth,data_parquet,image,"[480, 640, 1]",5,33310,parquet_rows,24,416364891,397.1 MiB,"{""uncompressed_bytes"": 416852083}"
430_towel_hanging_lerobot,state,observation.state,data_parquet,float32,[10],5,33310,parquet_rows,24,1273934,1.2 MiB,"{""uncompressed_bytes"": 1370161}"
430_towel_hanging_lerobot,state,observation.state_phone,data_parquet,float32,[6],5,33310,parquet_rows,24,1073874,1.0 MiB,"{""uncompressed_bytes"": 1094494}"
430_towel_hanging_lerobot,pose,start_pose,data_parquet,float32,[6],5,33310,parquet_rows,24,30911,30.2 KiB,"{""uncompressed_bytes"": 121363}"
430_towel_hanging_lerobot,index,task_index,data_parquet,int64,[1],5,33310,parquet_rows,24,20466,20.0 KiB,"{""uncompressed_bytes"": 19638}"
430_towel_hanging_lerobot,index,timestamp,data_parquet,float32,[1],5,33310,parquet_rows,24,184325,180.0 KiB,"{""uncompressed_bytes"": 182504}"
430_towel_hanging_lerobot,vision_video,observation.images.phone,video_files,video,"[480, 640, 3]",5,33310,ffprobe_count_frames,"{""24.0"": 5}",967531618,922.7 MiB,"{""duration_s"": 1387.916666, ""errors"": [], ""probe"": {""codec_values"": {""h264"": 5}, ""fps_values"": {""24.0"": 5}, ""height_values"": {""480"": 5}, ""pix_fmt_values"": {""yuv420p"": 5}, ""width_values"": {""640"": 5}}}"
430_towel_hanging_lerobot,vision_video,observation.images.wrist,video_files,video,"[480, 640, 3]",5,33310,ffprobe_count_frames,"{""24.0"": 5}",871414496,831.0 MiB,"{""duration_s"": 1387.916666, ""errors"": [], ""probe"": {""codec_values"": {""h264"": 5}, ""fps_values"": {""24.0"": 5}, ""height_values"": {""480"": 5}, ""pix_fmt_values"": {""yuv420p"": 5}, ""width_values"": {""640"": 5}}}"
430_towel_hanging_lerobot,tactile_video,observation.tactiles.left,video_files,video,"[224, 224, 3]",1,33310,ffprobe_count_frames,"{""24.0"": 1}",94346567,90.0 MiB,"{""duration_s"": 1387.916667, ""errors"": [], ""probe"": {""codec_values"": {""h264"": 1}, ""fps_values"": {""24.0"": 1}, ""height_values"": {""224"": 1}, ""pix_fmt_values"": {""yuv420p"": 1}, ""width_values"": {""224"": 1}}}"
430_towel_hanging_lerobot,tactile_video,observation.tactiles.right,video_files,video,"[224, 224, 3]",1,33310,ffprobe_count_frames,"{""24.0"": 1}",80240543,76.5 MiB,"{""duration_s"": 1387.916667, ""errors"": [], ""probe"": {""codec_values"": {""h264"": 1}, ""fps_values"": {""24.0"": 1}, ""height_values"": {""224"": 1}, ""pix_fmt_values"": {""yuv420p"": 1}, ""width_values"": {""224"": 1}}}"
